length,key,number_of_notes,total_measures,time_signature_num,time_signature_den,range,Grade
144,18,245,36,4,4,620.6747169,3
166,30,588,42,4,4,1109.25268,6
192,1,377,48,4,4,1524.328215,4
939,2,5769,470,2,4,1353.259397,8
192,17,404,32,6,4,973.0860692,4
63,6,483,32,2,4,797.5931108,4
48,1,133,16,3,4,653.1780893,2
78,16,332,26,6,8,1043.846289,2
3076.5,30,9737,1026,3,4,1355.709481,8
124,7,1121,31,4,4,905.3597133,5
71,1,210,18,4,4,915.6894786,4
114,23,592,38,3,4,866.9211317,6
32,7,16,8,4,4,462.8062144,2
301,21,2520,76,4,4,1043.324133,7
88,6,419,22,4,4,504.9226466,6
156,30,277,52,3,4,576.8482246,4
448,4,1439,112,4,4,489.3306768,1
95,4,424,24,4,4,1315.163912,4
32,2,43,8,4,4,561.2562548,3
126,2,312,42,3,4,770,4
173,17,525,44,4,4,1263.510228,4
48,2,157,16,3,4,685.992013,1
86.25,5,675,39,9,16,918.4709448,4
60,2,250,20,3,4,585.8389218,4
96,2,327,48,2,4,685.992013,6
2981,27,8752,1489,2,4,2458.148163,8
115,2,478,39,6,8,549.2551138,3
73.5,2,281,25,6,8,973.0860692,4
60,2,273,15,4,4,973.0860692,4
128,19,441,32,4,4,600.4576039,5
219,16,980,73,6,8,1480.674686,6
215,2,529,54,4,4,610.2556843,6
184,20,1108,92,2,4,988.231791,6
133.5,2,598,46,3,4,814.5936087,4
67,22,142,15,9,8,594.6302885,6
148,30,338,50,3,4,776.1738256,4
57,16,287,19,6,8,1064.659072,4
51,25,245,26,2,4,152.3441891,3
144,17,706,48,3,4,918.4709448,6
123,20,936,82,3,8,994.589174,6
219,23,637,73,3,4,1059.731094,4
262,17,1517,174,3,4,1694.593609,8
1246,21,4437,312,4,4,1353.259397,8
124.5,30,975,28,9,8,922.3602112,7
502,2,2513,250,2,4,1606.21879,7
68,3,143,17,4,4,850.5045432,2
145,17,860,49,3,4,991.5022612,8
1772,21,5172,443,4,4,2005.697465,8
58.5,3,401,30,2,4,1236.103338,5
108,3,303,36,3,4,897.4764407,5
32,1,326,16,2,4,654.5068252,4
108,20,349,36,6,8,732.0777848,4
344,9,660,84,4,4,1105.363414,5
210,4,449,35,3,2,770,4
50,20,102,17,3,4,311.1269837,0
48,4,127,16,3,4,1064.659072,1
29.5,4,159,20,3,8,1101.24288,4
93,8,949,24,4,4,926.0311899,4
157,1,465,53,3,4,1253.103836,3
129,1,807,43,3,4,1694.593609,6
248,4,2084,62,4,4,914.3504105,8
59,1,309,30,2,4,1437.168961,6
32,1,184,16,2,4,537.0492213,5
80,16,269,27,3,4,633.0500715,6
64,30,182,32,2,4,454.3633151,3
71,16,139,18,4,4,567.6436802,3
64,4,212,16,4,4,895.2679968,2
165,1,702,42,4,4,1518.982314,8
75.5,20,255,38,2,4,791.7185222,4
179.5,18,1369,60,3,4,991.5022612,5
163,4,396,82,2,4,2239.318143,6
647,1,2758,162,4,4,1518.982314,8
129,10,545,43,6,8,1162.101046,4
70,19,212,18,4,4,880.9943038,4
198,2,892,66,3,4,1101.24288,6
37.5,2,174,25,3,8,456.5167532,2
144,3,230,36,4,4,818.2645873,3
96,17,205,24,4,4,880.9943038,3
928,17,3521,232,4,4,1353.259397,8
414,30,938,138,3,4,994.589174,6
436.5,2,2217,110,4,4,1716.346471,8
108,6,684,36,6,8,1245.094036,6
88,2,345,22,4,4,889.7677435,4
400,8,1408,100,4,4,525.5941232,5
99,16,347,25,4,4,633.0500715,6
180,16,965,316,6,8,1524.328215,8
130,19,558,33,4,4,699.2456423,6
100,30,961,25,4,4,973.0860692,6
789,23,3626,197,4,4,1347.913496,6
64,5,234,16,4,4,710.57468,2
103,16,524,26,4,4,588.4564629,6
60,30,177,20,3,4,964.095372,5
72,2,517,24,3,4,1171.677844,6
139,18,248,24,5,4,1002.848732,6
998,23,5531,250,4,4,2744.826422,7
47,16,213,24,2,4,792.6929421,3
59,9,192,15,2,2,474.2579025,0
140,4,1190,35,4,4,914.3504105,6
256,4,552,63,4,4,561.2562548,7
114,2,491,38,6,8,1125.659642,6
468,17,1356,78,12,8,913.0335064,6
72,2,240,24,3,4,948.5034022,6
112,21,259,27,4,4,556.8475761,6
291,5,1430,59,3,4,951.0585065,7
36,6,65,9,4,4,549.2551138,3
267.5,17,774,67,4,4,1926.533776,5
175,20,1028,59,3,4,1166.726189,6
196,30,1381,49,4,4,2051.801078,8
